shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
14S-129-JO-N,45.500921,-73.625691,42
14S-102-01-O,45.478847,-73.625769,10
14S-162-01-O,45.472042,-73.626109,6
14S-103-JO-O,45.472042,-73.626109,8
14S-103-AC-O,45.472042,-73.626109,8
14S-162-01-E,45.471726,-73.626223,32
14S-103-JO-E,45.471726,-73.626223,16
14S-355-01-N,45.580473,-73.622531,77
14S-139-JO-N,45.580473,-73.622531,38
14S-41-01-E,45.580473,-73.622531,54
14S-192-JO-E,45.553276,-73.623728,7
14S-359-01-N,45.555127,-73.622525,33
14S-45-01-N,45.555127,-73.622525,32
14S-439-LV-S,45.579832,-73.621836,13
14S-439-L2-S,45.579832,-73.621836,4
14S-439-AM-S,45.579832,-73.621836,27
14S-355-01-S,45.579832,-73.621836,21
14S-139-JO-S,45.579832,-73.621836,16
14S-41-01-O,45.579832,-73.621836,7
14S-124-01-N,45.48857,-73.624531,20
14S-166-PM-S,45.488493,-73.624731,14
14S-166-L2-S,45.488493,-73.624731,14
14S-166-JO-S,45.488493,-73.624731,17
14S-51-JO-E,45.488493,-73.624731,25
14S-162-01-E,45.473156,-73.624938,33
14S-103-JO-E,45.473156,-73.624938,17
14S-370-01-E,45.509623,-73.624008,33
14S-161-01-E,45.509623,-73.624008,31
14S-361-01-N,45.540871,-73.622768,40
14S-31-01-N,45.540871,-73.622768,11
14S-193-01-O,45.549467,-73.622729,37
14S-372-SO-E,45.529519,-73.622574,26
14S-372-LC-E,45.529519,-73.622574,26
14S-365-01-S,45.529519,-73.622574,36
14S-93-01-E,45.529519,-73.622574,4
14S-92-JO-E,45.529519,-73.622574,30
14S-357-01-N,45.569142,-73.621317,36
14S-67-JO-N,45.569142,-73.621317,27
14S-41-01-O,45.569142,-73.621317,35
14S-63-01-S,45.478931,-73.624588,8
14S-368-01-E,45.489679,-73.623662,41
14S-166-PM-S,45.489679,-73.623662,15
14S-166-L2-S,45.489679,-73.623662,15
14S-166-JO-S,45.489679,-73.623662,18
14S-51-JO-E,45.489679,-73.623662,26
14S-363-01-S,45.536215,-73.622518,26
14S-55-JO-S,45.536215,-73.622518,15
14S-104-01-O,45.461734,-73.623993,27
14S-90-01-O,45.461734,-73.623993,25
14S-99-01-E,45.543105,-73.621739,5
14S-129-SO-S,45.503857,-73.6226,16
14S-129-S2-S,45.503857,-73.6226,17
14S-129-JO-S,45.503857,-73.6226,17
14S-193-01-O,45.551035,-73.621132,36
14S-162-01-E,45.475484,-73.622721,35
14S-103-JO-E,45.475484,-73.622721,19
14S-99-01-O,45.544469,-73.620963,25
